name, date, open, max, min, close, volume 
MIRBUD,20141201,1.52,1.54,1.49,1.5,34156
MNI,20141201,1.21,1.23,1.1899999999999999,1.21,101957
MOBRUK,20141201,12,12.85,12,12.85,1719
MOJ,20141201,1.5,1.5,1.3600000000000001,1.3600000000000001,390
MOL,20141201,157.5,162.09999999999999,157.5,162,9537
MONNARI,20141201,10.08,10.08,9.8200000000000003,9.8200000000000003,10704
MOSTALPLC,20141201,12.119999999999999,12.119999999999999,11.210000000000001,11.6,3369
MOSTALWAR,20141201,6.6299999999999999,6.6299999999999999,6.2800000000000002,6.2800000000000002,22839
MOSTALZAB,20141201,2.3999999999999999,2.4100000000000001,2.3599999999999999,2.3799999999999999,85396
MSXRESOUR,20141201,1.4199999999999999,1.4399999999999999,1.3600000000000001,1.3799999999999999,47471
MUZA,20141201,2.9199999999999999,3.0499999999999998,2.9199999999999999,3.0499999999999998,130
MWTRADE,20141201,17.73,17.73,17.699999999999999,17.699999999999999,324
NETIA,20141201,5.6500000000000004,5.7300000000000004,5.6299999999999999,5.6299999999999999,411275
NETMEDIA,20141201,3.98,3.98,3.77,3.9399999999999999,1339
NEUCA,20141201,220,221.40000000000001,219.5,219.80000000000001,561
NEWAG,20141201,23.039999999999999,23.039999999999999,22.859999999999999,22.899999999999999,5345
NFIEMF,20141201,7.21,7.21,7.1500000000000004,7.1500000000000004,210
NOKAUT,20141201,1.3,1.3,1.24,1.25,4104
NORTCOAST,20141201,3.96,4.3399999999999999,3.9500000000000002,4.25,80528
NOVITA,20141201,53.350000000000001,53.350000000000001,53.350000000000001,53.350000000000001,10
NOWAGALA,20141201,1.26,1.26,1.24,1.24,5568
NTTSYSTEM,20141201,2.2999999999999998,2.2999999999999998,2.2999999999999998,2.2999999999999998,14
ODLEWNIE,20141201,2.1200000000000001,2.1400000000000001,2.1200000000000001,2.1400000000000001,2000
OPENFIN,20141201,3.77,3.77,3.7000000000000002,3.7000000000000002,20712
OPONEO.PL,20141201,10.859999999999999,10.859999999999999,10.5,10.85,1756
ORANGEPL,20141201,9.4199999999999999,9.5999999999999996,9.4199999999999999,9.5,2005255
ORBIS,20141201,40.700000000000003,40.700000000000003,40.329999999999998,40.329999999999998,25032
ORCOGROUP,20141201,2.0299999999999998,2.0299999999999998,1.9399999999999999,1.9399999999999999,20476
ORZBIALY,20141201,6.4000000000000004,6.6600000000000001,6.21,6.54,4363
OTLOG,20141201,227.5,231,227.5,231,130
OTMUCHOW,20141201,8.5999999999999996,8.6899999999999995,8.5199999999999996,8.5199999999999996,375
PAGED,20141201,43.460000000000001,43.460000000000001,42.460000000000001,42.460000000000001,3013
PANOVA,20141201,15.56,15.56,15.56,15.56,1
PATENTUS,20141201,1.27,1.27,1.26,1.26,1040
PBG,20141201,1.76,1.76,1.6499999999999999,1.6899999999999999,55840
PBSFINANSE,20141201,3.75,3.8999999999999999,3.75,3.8999999999999999,210
PCCEXOL,20141201,3.3300000000000001,3.3300000000000001,3.3300000000000001,3.3300000000000001,18
PCCINTER,20141201,1.4399999999999999,1.4399999999999999,1.3999999999999999,1.3999999999999999,1035
PCCROKITA,20141201,34.100000000000001,34.100000000000001,33.740000000000002,34.100000000000001,37
PCGUARD,20141201,0.41999999999999998,0.42999999999999999,0.39000000000000001,0.40000000000000002,256494
PCM,20141201,53.899999999999999,53.899999999999999,53.799999999999997,53.799999999999997,46
PEIXIN,20141201,8.25,8.25,8.0099999999999998,8.0999999999999996,7059
PEKAES,20141201,9.9000000000000004,9.9000000000000004,9.5600000000000005,9.5600000000000005,3963
PEKAO,20141201,185.69999999999999,185.69999999999999,181.5,185.09999999999999,422921
PELION,20141201,77.409999999999997,77.409999999999997,74.560000000000002,74.560000000000002,726
PEP,20141201,29,29,28.199999999999999,28.989999999999998,1336
PEPEES,20141201,0.52000000000000002,0.54000000000000004,0.52000000000000002,0.54000000000000004,141
PGE,20141201,19.390000000000001,20.079999999999998,19.390000000000001,19.989999999999998,1757072
PGNIG,20141201,4.8499999999999996,4.8499999999999996,4.7199999999999998,4.7999999999999998,5781952
PGODLEW,20141201,5.5499999999999998,5.5499999999999998,5.4000000000000004,5.5499999999999998,1008
PHN,20141201,24.800000000000001,25.050000000000001,24.27,24.5,38326
PKNORLEN,20141201,45,45.960000000000001,44.990000000000002,45.600000000000001,542378
PKOBP,20141201,37.299999999999997,37.649999999999999,37.219999999999999,37.649999999999999,2065349
PKOGS,20141201,99.269999999999996,99.269999999999996,99.269999999999996,99.269999999999996,620
PKOSO,20141201,100.40000000000001,100.40000000000001,100.40000000000001,100.40000000000001,100
PKPCARGO,20141201,77.599999999999994,78,76.799999999999997,77.510000000000005,80531
PLASTBOX,20141201,2.5499999999999998,2.5800000000000001,2.5,2.5800000000000001,1219
POLICE,20141201,19.800000000000001,19.800000000000001,19.41,19.41,2161
POLMED,20141201,2.1499999999999999,2.1499999999999999,2.1000000000000001,2.1000000000000001,6411
POLNA,20141201,25.550000000000001,25.550000000000001,25.550000000000001,25.550000000000001,1147
POLNORD,20141201,6.9199999999999999,7,6.8499999999999996,6.9199999999999999,16251
POLWAX,20141201,16.800000000000001,16.800000000000001,16.399999999999999,16.640000000000001,5716
POZBUD,20141201,4.4199999999999999,4.4199999999999999,4.3200000000000003,4.3200000000000003,355
PPG,20141201,2.04,2.0499999999999998,1.8600000000000001,2.04,305
PRAGMAFA,20141201,13.380000000000001,13.41,13.380000000000001,13.4,305
PRAGMAINK,20141201,16.300000000000001,16.300000000000001,15.699999999999999,16,759
PRESCO,20141201,4.0300000000000002,4.0300000000000002,3.8500000000000001,4.0300000000000002,1153
PRIMAMODA,20141201,1.0600000000000001,1.1200000000000001,1.0600000000000001,1.1200000000000001,1680
PROCAD,20141201,1.0600000000000001,1.1000000000000001,1.0600000000000001,1.1000000000000001,6985
PROCHEM,20141201,17.649999999999999,18.010000000000002,17.649999999999999,17.77,905
PROCHNIK,20141201,1,1.03,0.95999999999999996,0.98999999999999999,17577
PROJPRZEM,20141201,5.96,6,5.5999999999999996,5.8200000000000003,12743
PROTEKTOR,20141201,2.6800000000000002,2.6800000000000002,2.6000000000000001,2.6699999999999999,10353
PROVIDENT,20141201,24.859999999999999,24.98,24.420000000000002,24.98,53
PTI,20141201,14.699999999999999,14.800000000000001,14.699999999999999,14.800000000000001,2087
PULAWY,20141201,141,141,140,141,40
